horizon,model,candidate_id,is_baseline_candidate,params_json,cv_score,cv_score_std,cv_balanced_accuracy,cv_f1,cv_spearman_ic,cv_strategy_sharpe,fit_seconds,error,selected,selected_params
5,SVC,1,False,"{""C"": 0.5, ""gamma"": ""scale""}",0.5849937803275407,0.027133477377879175,0.5330263594449006,0.5845434586198487,0.10041848783717484,1.3230842977658084,3.510810687000003,,True,"{""C"": 0.5, ""gamma"": ""scale""}"
5,SVR,3,False,"{""C"": 5.0, ""epsilon"": 0.005, ""gamma"": 0.03}",0.5229661483009523,0.027756877325863134,0.5116414576762081,0.49531862478878286,0.01794361984594874,0.48216889334309276,4.304281955000079,,True,"{""C"": 5.0, ""epsilon"": 0.005, ""gamma"": 0.03}"
5,Random Forest,0,True,"{""max_depth"": 7, ""min_samples_leaf"": 20, ""n_estimators"": 350}",0.5977819322980641,0.023047983643215943,0.5454291766854255,0.5966520595420166,0.07587041954016822,1.658718592773371,7.465737512000032,,True,"{""max_depth"": 7, ""min_samples_leaf"": 20, ""n_estimators"": 350}"
5,XGBoost,2,False,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.025, ""max_depth"": 3, ""n_estimators"": 320, ""reg_lambda"": 4.0, ""subsample"": 0.8}",0.5521007373838942,0.01608570148741907,0.5240394744067556,0.5556020710959492,0.010871519580509413,0.9306116914088789,1.4724591130000135,,True,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.025, ""max_depth"": 3, ""n_estimators"": 320, ""reg_lambda"": 4.0, ""subsample"": 0.8}"
5,LightGBM,2,False,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.02, ""max_depth"": 5, ""n_estimators"": 360, ""num_leaves"": 20, ""reg_lambda"": 4.0, ""subsample"": 0.8}",0.5469595757570999,0.022599716725385265,0.5244521719483584,0.5559976320438208,-0.003531264565476963,0.7536732570162291,2.4958497089999128,,True,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.02, ""max_depth"": 5, ""n_estimators"": 360, ""num_leaves"": 20, ""reg_lambda"": 4.0, ""subsample"": 0.8}"
5,CatBoost,2,False,"{""depth"": 4, ""iterations"": 360, ""l2_leaf_reg"": 5.0, ""learning_rate"": 0.025}",0.5676955914479995,0.020310242938450535,0.5296605716729097,0.5930423498909869,0.03867986357624765,0.9934311076608981,2.3423390779998954,,True,"{""depth"": 4, ""iterations"": 360, ""l2_leaf_reg"": 5.0, ""learning_rate"": 0.025}"
5,HMM Regime,0,True,"{""covariance_type"": ""diag"", ""n_components"": 4, ""n_iter"": 400}",0.5832341207555009,0.025792631163676603,0.5206184879530394,0.6166517539182537,0.07902442653960495,1.3420235860316205,0.6408859880000364,,True,"{""covariance_type"": ""diag"", ""n_components"": 4, ""n_iter"": 400}"
20,SVC,1,False,"{""C"": 0.5, ""gamma"": ""scale""}",0.5434870593833274,0.009354184955198155,0.5178849771352939,0.5496194394881574,0.040302138369637565,0.6337294063252893,3.3682811520000087,,True,"{""C"": 0.5, ""gamma"": ""scale""}"
20,SVR,1,False,"{""C"": 1.0, ""epsilon"": 0.003, ""gamma"": ""scale""}",0.5080509623903987,0.020662556373405663,0.4972287435638145,0.47297938257107547,-0.010959150436224101,0.4593266346532808,1.627404191000096,,True,"{""C"": 1.0, ""epsilon"": 0.003, ""gamma"": ""scale""}"
20,Random Forest,1,False,"{""max_depth"": 5, ""max_features"": ""sqrt"", ""min_samples_leaf"": 30, ""n_estimators"": 280}",0.541571862916673,0.01915937811604009,0.5233033741764296,0.5483040815819633,0.03679760757298109,0.5054928568549014,3.400606360999973,,True,"{""max_depth"": 5, ""max_features"": ""sqrt"", ""min_samples_leaf"": 30, ""n_estimators"": 280}"
20,XGBoost,0,True,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.035, ""max_depth"": 3, ""n_estimators"": 250, ""reg_lambda"": 2.0, ""subsample"": 0.85}",0.5265323442033135,0.03452530999198516,0.5151799071214878,0.5447137863935573,-0.04032099052372681,0.44620889701049893,1.0947576730000037,,True,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.035, ""max_depth"": 3, ""n_estimators"": 250, ""reg_lambda"": 2.0, ""subsample"": 0.85}"
20,LightGBM,0,True,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.025, ""max_depth"": 4, ""n_estimators"": 300, ""num_leaves"": 15, ""reg_lambda"": 2.0, ""subsample"": 0.85}",0.5255850903707446,0.03618497215369969,0.5174335105625102,0.5483780917528551,-0.03453467357546711,0.3487066984374785,2.2011438380000072,,True,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.025, ""max_depth"": 4, ""n_estimators"": 300, ""num_leaves"": 15, ""reg_lambda"": 2.0, ""subsample"": 0.85}"
20,CatBoost,1,False,"{""depth"": 3, ""iterations"": 220, ""l2_leaf_reg"": 4.0, ""learning_rate"": 0.05}",0.5204109654821256,0.029092061599941266,0.48718433331359945,0.5569642115920361,-0.03330651817951194,0.536391130982162,1.0765565329998026,,True,"{""depth"": 3, ""iterations"": 220, ""l2_leaf_reg"": 4.0, ""learning_rate"": 0.05}"
20,HMM Regime,3,False,"{""covariance_type"": ""tied"", ""n_components"": 4, ""n_iter"": 400}",0.5966092149316258,0.010947489874812965,0.5454437564283449,0.6399247923922567,0.1055732466983304,1.1205454152308494,2.198160590999805,,True,"{""covariance_type"": ""tied"", ""n_components"": 4, ""n_iter"": 400}"
60,SVC,1,False,"{""C"": 0.5, ""gamma"": ""scale""}",0.5031532788050813,0.05062844503878825,0.47782748809926795,0.5318203903822629,-0.0509950157523662,0.34562088598747015,3.3047436780000226,,True,"{""C"": 0.5, ""gamma"": ""scale""}"
60,SVR,0,True,"{""C"": 5.0, ""epsilon"": 0.001, ""gamma"": ""scale""}",0.5210098660150572,0.03809100513062928,0.5188438757939148,0.4898593780946722,0.013736924530329977,0.3939895344008269,3.7638386799999353,,True,"{""C"": 5.0, ""epsilon"": 0.001, ""gamma"": ""scale""}"
60,Random Forest,2,False,"{""max_depth"": 10, ""max_features"": 0.7, ""min_samples_leaf"": 12, ""n_estimators"": 350}",0.535873561429579,0.052977105340972164,0.5407165848970071,0.6026379683148995,-0.04489702235112387,0.04028447095773686,9.638587432999884,,True,"{""max_depth"": 10, ""max_features"": 0.7, ""min_samples_leaf"": 12, ""n_estimators"": 350}"
60,XGBoost,1,False,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.05, ""max_depth"": 2, ""n_estimators"": 200, ""reg_lambda"": 3.0, ""subsample"": 0.9}",0.5405671057774571,0.06034707424537444,0.5323271414157726,0.6071955891964184,0.0020284472305129187,0.12672660329265875,0.7787547899999936,,True,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.05, ""max_depth"": 2, ""n_estimators"": 200, ""reg_lambda"": 3.0, ""subsample"": 0.9}"
60,LightGBM,1,False,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.04, ""max_depth"": 3, ""n_estimators"": 240, ""num_leaves"": 7, ""reg_lambda"": 3.0, ""subsample"": 0.9}",0.5366750007332636,0.06224670777633507,0.528545530002661,0.5779084482726301,0.004334618404770563,0.21717035421178657,0.9702433300001303,,True,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.04, ""max_depth"": 3, ""n_estimators"": 240, ""num_leaves"": 7, ""reg_lambda"": 3.0, ""subsample"": 0.9}"
60,CatBoost,0,True,"{""depth"": 4, ""iterations"": 280, ""learning_rate"": 0.035}",0.5187952970547444,0.06452082929664257,0.5147519967448432,0.569281951960455,-0.03562904370477785,0.062382464169567435,1.7528480999999374,,True,"{""depth"": 4, ""iterations"": 280, ""learning_rate"": 0.035}"
60,HMM Regime,0,True,"{""covariance_type"": ""diag"", ""n_components"": 4, ""n_iter"": 400}",0.590012010638057,0.005174124894832941,0.5143309335790099,0.647021463305301,0.126435709879105,1.264306075906033,0.6496220100000301,,True,"{""covariance_type"": ""diag"", ""n_components"": 4, ""n_iter"": 400}"
