horizon,model,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,tn,fp,fn,tp,mae,rmse,r2,spearman_ic,pred_return_mean,pred_return_std
5,MACD 12-26-9,0.5234972677595628,0.518442502354049,0.5971370143149284,0.5499058380414312,0.5725490196078431,0.5184425023540489,187,197,239,292,0.02104814138364453,0.028239081801984887,-0.006556579306523869,0.02544871830488099,0.0016885162249996538,0.004370934245330083
5,SVC,0.5617486338797815,0.5283295080037664,0.5996932515337423,0.736346516007533,0.6610312764158918,0.5277728735091024,123,261,140,391,0.021223094324525935,0.028731354662139816,-0.04195570117165737,0.03909437765420072,0.004946367817372334,0.0066212391624393
5,SVR,0.5114754098360655,0.5163753531073446,0.5972222222222222,0.4858757062146893,0.5358255451713395,0.5024178044569994,210,174,273,258,0.03048135133279622,0.0404569547198704,-1.0659672266140405,0.03595565548158919,-0.004365346329857039,0.029542458790059574
5,Random Forest,0.5497267759562842,0.5172507650659134,0.5922480620155038,0.71939736346516,0.6496598639455783,0.5252569836785939,121,263,149,382,0.0212032520947866,0.028455188531208354,-0.022021386490397754,0.012597071629949275,0.0012292858213061634,0.00571135682997632
5,XGBoost,0.546448087431694,0.49496086393596983,0.5773333333333334,0.815442561205273,0.6760343481654957,0.48840140458254866,67,317,98,433,0.021508751266390087,0.02886575876375415,-0.05172695488254475,-0.007812673778841723,0.00039825571002438664,0.006883933674544096
5,LightGBM,0.526775956284153,0.4942325800376648,0.5763239875389408,0.696798493408663,0.6308610400682012,0.4643018283113622,112,272,161,370,0.02213192332576428,0.029643992820769516,-0.10920149906764265,-0.08602528373835529,5.8694331374862396e-05,0.0080906336617437
5,CatBoost,0.5366120218579234,0.5016257650659134,0.5814307458143074,0.71939736346516,0.6430976430976431,0.5026924435028248,109,275,149,382,0.02131774453648612,0.028523013456603373,-0.026899311441204832,0.004642962934650702,0.00141370416944331,0.005722568406431737
5,HMM Regime,0.546448087431694,0.5356932674199624,0.6106870229007634,0.6026365348399246,0.6066350710900474,0.5320224223163842,180,204,211,320,0.021402754892687295,0.028991328311947586,-0.06089713667076313,0.04785058793582302,0.002551348365904971,0.008736775418928883
20,MACD 12-26-9,0.5387978142076503,0.5328651093748433,0.6380368098159509,0.5601436265709157,0.5965583173996176,0.5328651093748433,181,177,245,312,0.042990899404319514,0.056590913305420106,-0.012993987332969859,0.033809966039991826,0.008646940731941005,0.00875957118318914
20,SVC,0.48415300546448087,0.45504899551668454,0.574430823117338,0.5888689407540395,0.5815602836879432,0.42951566151469867,115,243,229,328,0.048840054981548885,0.061784826861719835,-0.20747216954057857,-0.11901798784113361,0.009559622262383372,0.02159216670835325
20,SVR,0.49836065573770494,0.5046412846153074,0.6134259259259259,0.4757630161579892,0.5358948432760364,0.508435052104751,191,167,292,265,0.05451545982011878,0.07138414647689023,-0.611821720622771,0.0032024490615590972,-0.005503844345420201,0.04073913438110077
20,Random Forest,0.49836065573770494,0.46023188870946713,0.580327868852459,0.6355475763016158,0.6066838046272494,0.4717410709808131,102,256,203,354,0.04431381969805473,0.05813110298980387,-0.06888403028035972,-0.09550022690129895,0.006841025296552112,0.009221851386825524
20,XGBoost,0.5704918032786885,0.5344473085062637,0.6331168831168831,0.7001795332136446,0.6649616368286445,0.5708454108702847,132,226,167,390,0.044746508037354714,0.058431222894258006,-0.07994941367389896,0.013688453691611202,0.003686481388285756,0.015491938218474388
20,LightGBM,0.5519125683060109,0.5311625527817618,0.6333938294010889,0.6265709156193896,0.6299638989169675,0.5554496855661314,156,202,208,349,0.0467683360032475,0.06128578114745888,-0.188045062274401,-0.01881640131279933,0.002526112074486223,0.020530769704977015
20,CatBoost,0.5355191256830601,0.5102128321113708,0.6166077738515902,0.6265709156193896,0.6215494211932324,0.5394321133767288,141,217,208,349,0.04518973051525889,0.059291057325715824,-0.111966879850252,-0.04797583207455458,0.004873222059203148,0.014727747123497037
20,HMM Regime,0.4994535519125683,0.48358374371884494,0.5950095969289827,0.5565529622980251,0.575139146567718,0.4932449374642689,147,211,247,310,0.044265006926581356,0.056813868849349865,-0.020991650443382914,0.050424712457837265,0.007665240798749685,0.012245212873018888
60,MACD 12-26-9,0.4819672131147541,0.4658093394102227,0.6462167689161554,0.5121555915721232,0.5714285714285714,0.46580933941022273,125,173,301,316,0.06816701740166553,0.09227475245511575,-0.003579139888859162,0.019667180932487885,0.03127955446976309,0.007790224926693355
60,SVC,0.5180327868852459,0.4760695288960438,0.6571428571428571,0.5964343598055105,0.6253186066270179,0.46085736351473355,106,192,249,368,0.09553565503735673,0.1190381760323068,-0.6701611434779657,-0.1312391064052171,0.027202536587472095,0.06658601312963502
60,SVR,0.4819672131147541,0.4684117781427779,0.6480331262939959,0.5072933549432739,0.5690909090909091,0.4882577529287634,128,170,304,313,0.10559856439162939,0.13901146074830364,-1.2776503876582597,-0.003486071769107995,-0.01132820486589537,0.10282834609567856
60,Random Forest,0.5333333333333333,0.5195114920648733,0.69,0.5591572123176661,0.6177260519247986,0.517142919299925,143,155,272,345,0.07665055219014479,0.10489006790184303,-0.29674499712201596,-0.016448347134648735,0.007875051375566171,0.03715492891062625
60,XGBoost,0.5453551912568306,0.5015337256480263,0.675392670157068,0.6272285251215559,0.6504201680672269,0.4889294377427039,112,186,230,387,0.07864848231546792,0.10441623952504968,-0.28505567759177763,-0.204105044954186,0.010485013015568256,0.03451506048440933
60,LightGBM,0.492896174863388,0.48519030163271076,0.6617336152219874,0.5072933549432739,0.5743119266055046,0.48692526078774767,138,160,304,313,0.08067404808793419,0.10759751956760627,-0.36455287079293575,-0.1074755776974554,0.005197485204510738,0.04221549519929267
60,CatBoost,0.4972677595628415,0.4788895173659078,0.657314629258517,0.5316045380875203,0.5878136200716846,0.48169862834890625,127,171,289,328,0.0791340584374202,0.10646329879205539,-0.3359360998399856,-0.15918835909398008,0.008975244696090652,0.03518005380683566
60,HMM Regime,0.5431693989071038,0.43918940967878783,0.639943741209564,0.7374392220421394,0.6852409638554217,0.4047567250062546,42,256,162,455,0.07682208192778717,0.0997542333993495,-0.1728663299711657,-0.09112811283365051,0.031900543772571864,0.03196308815323232
