horizon,model,baseline_rank_score,baseline_composite_score,baseline_balanced_accuracy,baseline_f1,baseline_spearman_ic,baseline_r2,baseline_strategy_sharpe,baseline_strategy_total_return,baseline_strategy_max_drawdown,tuned_rank_score,tuned_composite_score,tuned_balanced_accuracy,tuned_f1,tuned_spearman_ic,tuned_r2,tuned_strategy_sharpe,tuned_strategy_total_return,tuned_strategy_max_drawdown,delta_rank_score,delta_composite_score,delta_balanced_accuracy,delta_f1,delta_spearman_ic,delta_r2,delta_strategy_sharpe,delta_strategy_total_return,delta_strategy_max_drawdown,improved_rank_score,improved_composite_score,candidate_id,is_baseline_candidate,selected_params,cv_score,cv_score_std,fit_seconds
5,CatBoost,0.625,0.5645241854065386,0.5146686676082862,0.6617038875103392,-0.010692103004574209,-0.041199364516848025,0.7431217456918728,0.46575036682320614,-0.18890795579983233,0.475,0.54854020252094,0.5016257650659134,0.6430976430976431,0.004642962934650702,-0.026899311441204832,0.510108413822108,0.2779126704761812,-0.18808553280580242,-0.15000000000000002,-0.015983982885598547,-0.013042902542372836,-0.018606244412696094,0.015335065939224912,0.014300053075643193,-0.2330133318697648,-0.18783769634702496,0.0008224229940299033,False,False,2.0,False,"{""depth"": 4, ""iterations"": 360, ""l2_leaf_reg"": 5.0, ""learning_rate"": 0.025}",0.5676955914479995,0.020310242938450535,2.3423390779998954
5,HMM Regime,0.775,0.5901393160144747,0.5356932674199624,0.6066350710900474,0.04785058793582302,-0.06089713667076313,1.514779742248166,0.8484825965802434,-0.09429888901556172,0.75,0.5901393160144747,0.5356932674199624,0.6066350710900474,0.04785058793582302,-0.06089713667076313,1.514779742248166,0.8484825965802434,-0.09429888901556172,-0.025000000000000022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,0.0,True,"{""covariance_type"": ""diag"", ""n_components"": 4, ""n_iter"": 400}",0.5832341207555009,0.025792631163676603,0.6408859880000364
5,LightGBM,0.275,0.5367411540472342,0.49545374293785316,0.6258620689655172,-0.05075252467770313,-0.0889352452549994,0.5091138730615422,0.2832783502022358,-0.18107254576205256,0.275,0.5344165490093462,0.4942325800376648,0.6308610400682012,-0.08602528373835529,-0.10920149906764265,0.5305643256718717,0.30420499853537564,-0.19856983167505127,0.0,-0.0023246050378880057,-0.0012211629001883662,0.004998971102683991,-0.03527275906065216,-0.020266253812643242,0.021450452610329518,0.02092664833313984,-0.017497285912998706,False,False,2.0,False,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.02, ""max_depth"": 5, ""n_estimators"": 360, ""num_leaves"": 20, ""reg_lambda"": 4.0, ""subsample"": 0.8}",0.5469595757570999,0.022599716725385265,2.4958497089999128
5,MACD 12-26-9,0.7,0.5573623378317037,0.518442502354049,0.5725490196078431,0.02544871830488099,-0.006556579306523869,0.9119070232840213,0.42741903608325105,-0.17791181053636862,0.675,0.5573623378317037,0.518442502354049,0.5725490196078431,0.02544871830488099,-0.006556579306523869,0.9119070232840213,0.42741903608325105,-0.17791181053636862,-0.02499999999999991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,,,,,,
5,Random Forest,0.625,0.563478291642052,0.5172507650659134,0.6496598639455783,0.012597071629949275,-0.022021386490397754,0.6788939003780732,0.39935095251297614,-0.18659291781863274,0.675,0.563478291642052,0.5172507650659134,0.6496598639455783,0.012597071629949275,-0.022021386490397754,0.6788939003780732,0.39935095251297614,-0.18659291781863274,0.050000000000000044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,0.0,True,"{""max_depth"": 7, ""min_samples_leaf"": 20, ""n_estimators"": 350}",0.5977819322980641,0.023047983643215943,7.465737512000032
5,SVC,0.8,0.577078006574903,0.5217381709039548,0.6530612244897959,0.03607155753955526,-0.0577066505849293,0.946990430848849,0.5794646635703316,-0.16626685615711911,0.825,0.5858453628817527,0.5283295080037664,0.6610312764158918,0.03909437765420072,-0.04195570117165737,1.0802569634760082,0.674602118339181,-0.140298835822385,0.02499999999999991,0.00876735630684966,0.006591337099811634,0.0079700519260959,0.0030228201146454622,0.01575094941327193,0.13326653262715915,0.0951374547688495,0.02596802033473411,True,True,1.0,False,"{""C"": 0.5, ""gamma"": ""scale""}",0.5849937803275407,0.027133477377879175,3.510810687000003
5,SVR,0.2,0.5115750794023491,0.4898334510357816,0.530241935483871,0.003926747457209485,-1.054919157041812,0.2603666917708995,0.10385480374235678,-0.1553767939218873,0.325,0.5235141599205624,0.5163753531073446,0.5358255451713395,0.03595565548158919,-1.0659672266140405,0.14383617679059701,0.03795861846172133,-0.13809620206333806,0.125,0.011939080518213241,0.02654190207156304,0.005583609687468516,0.0320289080243797,-0.011048069572228592,-0.11653051498030248,-0.06589618528063546,0.017280591858549244,True,True,3.0,False,"{""C"": 5.0, ""epsilon"": 0.005, ""gamma"": 0.03}",0.5229661483009523,0.027756877325863134,4.304281955000079
5,XGBoost,0.5,0.5592132509904001,0.50080920433145,0.6724821570182395,-0.012307104717606253,-0.06440274873461771,0.7107004751362903,0.4713396212341716,-0.21203714173962462,0.5,0.5544434732772698,0.49496086393596983,0.6760343481654957,-0.007812673778841723,-0.05172695488254475,0.6127588752842641,0.3894219695104486,-0.22227382796146267,0.0,-0.004769777713130252,-0.0058483403954802116,0.003552191147256134,0.00449443093876453,0.012675793852072959,-0.09794159985202622,-0.081917651723723,-0.010236686221838043,False,False,2.0,False,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.025, ""max_depth"": 3, ""n_estimators"": 320, ""reg_lambda"": 4.0, ""subsample"": 0.8}",0.5521007373838942,0.01608570148741907,1.4724591130000135
20,CatBoost,0.55,0.5536596032819388,0.5338530435393117,0.6455026455026455,-0.10584048799522168,-0.1529455847215624,0.5439394436127412,0.29953530486226,-0.18107254576205245,0.525,0.5379542123161404,0.5102128321113708,0.6215494211932324,-0.04797583207455458,-0.111966879850252,0.37351303865961505,0.18097994362741687,-0.19692261992102267,-0.025000000000000022,-0.01570539096579837,-0.023640211427940927,-0.023953224309413046,0.0578646559206671,0.04097870487131039,-0.1704264049531261,-0.11855536123484312,-0.015850074158970218,False,False,1.0,False,"{""depth"": 3, ""iterations"": 220, ""l2_leaf_reg"": 4.0, ""learning_rate"": 0.05}",0.5204109654821256,0.029092061599941266,1.0765565329998026
20,HMM Regime,0.575,0.5587657897657272,0.4908653701493435,0.5827937095282146,-0.016476413710200644,-0.10890417467159774,1.514779742248166,0.8484825965802434,-0.09429888901556172,0.625,0.5420554654443431,0.48358374371884494,0.575139146567718,0.050424712457837265,-0.020991650443382914,0.8274550025757671,0.389430241893842,-0.1647333557060101,0.050000000000000044,-0.016710324321384085,-0.007281626430498567,-0.0076545629604966026,0.06690112616803791,0.08791252422821483,-0.6873247396723988,-0.4590523546864014,-0.0704344666904484,True,False,3.0,False,"{""covariance_type"": ""tied"", ""n_components"": 4, ""n_iter"": 400}",0.5966092149316258,0.010947489874812965,2.198160590999805
20,LightGBM,0.5,0.5491954073442635,0.5311625527817618,0.6299638989169675,-0.01881640131279933,-0.188045062274401,0.2971300855598655,0.12687797107423204,-0.20923962949143515,0.55,0.5491954073442635,0.5311625527817618,0.6299638989169675,-0.01881640131279933,-0.188045062274401,0.2971300855598655,0.12687797107423204,-0.20923962949143515,0.050000000000000044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,0.0,True,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.025, ""max_depth"": 4, ""n_estimators"": 300, ""num_leaves"": 15, ""reg_lambda"": 2.0, ""subsample"": 0.85}",0.5255850903707446,0.03618497215369969,2.2011438380000072
20,MACD 12-26-9,0.8,0.5694904953229273,0.5328651093748433,0.5965583173996176,0.033809966039991826,-0.012993987332969859,0.9119070232840213,0.42741903608325105,-0.17791181053636862,0.8,0.5694904953229273,0.5328651093748433,0.5965583173996176,0.033809966039991826,-0.012993987332969859,0.9119070232840213,0.42741903608325105,-0.17791181053636862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,,,,,,
20,Random Forest,0.6,0.5417629402439337,0.5049196112453989,0.6469093988145639,-0.10574990817720387,-0.05789051929979849,0.5679131593520675,0.31498034149282317,-0.20733619440096185,0.575,0.5323961990045858,0.46023188870946713,0.6066838046272494,-0.09550022690129895,-0.06888403028035972,1.1346756379266831,0.7399289109488973,-0.11982235433454125,-0.025000000000000022,-0.009366741239347887,-0.04468772253593173,-0.04022559418731453,0.01024968127590492,-0.010993510980561227,0.5667624785746156,0.4249485694560742,0.0875138400664206,False,False,1.0,False,"{""max_depth"": 5, ""max_features"": ""sqrt"", ""min_samples_leaf"": 30, ""n_estimators"": 280}",0.541571862916673,0.01915937811604009,3.400606360999973
20,SVC,0.35,0.5149042595926429,0.45754641284615305,0.5643835616438356,-0.10518098577044845,-0.2789643284122032,0.9002379569713923,0.5281288028239377,-0.18373372752032702,0.275,0.5095122605639382,0.45504899551668454,0.5815602836879432,-0.11901798784113361,-0.20747216954057857,0.703062258120672,0.3820013315681978,-0.2042143717919913,-0.07499999999999996,-0.005391999028704686,-0.00249741732946851,0.017176722044107584,-0.013837002070685167,0.07149215887162463,-0.19717569885072028,-0.14612747125573988,-0.020480644271664294,False,False,1.0,False,"{""C"": 0.5, ""gamma"": ""scale""}",0.5434870593833274,0.009354184955198155,3.3682811520000087
20,SVR,0.4,0.5339025705351812,0.5203053067610804,0.5316718587746625,0.07427241596075587,-1.0068860915401614,0.29556148307413105,0.11769478159275115,-0.2686980020374009,0.45,0.5419802106729366,0.5046412846153074,0.5358948432760364,0.0032024490615590972,-0.611821720622771,0.9244573989390649,0.5086952606788993,-0.1503414996913024,0.04999999999999999,0.00807764013775536,-0.015664022145773004,0.0042229845013739276,-0.07106996689919677,0.39506437091739044,0.6288959158649339,0.3910004790861481,0.11835650234609851,True,True,1.0,False,"{""C"": 1.0, ""epsilon"": 0.003, ""gamma"": ""scale""}",0.5080509623903987,0.020662556373405663,1.627404191000096
20,XGBoost,0.725,0.5583279700074728,0.5344473085062637,0.6649616368286445,0.013688453691611202,-0.07994941367389896,0.2267129907984973,0.08964867992320857,-0.18107254576205212,0.7,0.5583279700074728,0.5344473085062637,0.6649616368286445,0.013688453691611202,-0.07994941367389896,0.2267129907984973,0.08964867992320857,-0.18107254576205212,-0.025000000000000022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,0.0,True,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.035, ""max_depth"": 3, ""n_estimators"": 250, ""reg_lambda"": 2.0, ""subsample"": 0.85}",0.5265323442033135,0.03452530999198516,1.0947576730000037
60,CatBoost,0.475,0.516568781195387,0.4788895173659078,0.5878136200716846,-0.15918835909398008,-0.3359360998399856,0.6759345824143661,0.3605620356791641,-0.15074607829557585,0.5,0.516568781195387,0.4788895173659078,0.5878136200716846,-0.15918835909398008,-0.3359360998399856,0.6759345824143661,0.3605620356791641,-0.15074607829557585,0.025000000000000022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,0.0,True,"{""depth"": 4, ""iterations"": 280, ""learning_rate"": 0.035}",0.5187952970547444,0.06452082929664257,1.7528480999999374
60,HMM Regime,0.7,0.5326594277970274,0.43918940967878783,0.6852409638554217,-0.09112811283365051,-0.1728663299711657,0.9145259228978577,0.5407971812941872,-0.12908270813805778,0.725,0.5326594277970274,0.43918940967878783,0.6852409638554217,-0.09112811283365051,-0.1728663299711657,0.9145259228978577,0.5407971812941872,-0.12908270813805778,0.025000000000000022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,0.0,True,"{""covariance_type"": ""diag"", ""n_components"": 4, ""n_iter"": 400}",0.590012010638057,0.005174124894832941,0.6496220100000301
60,LightGBM,0.575,0.5214936804442862,0.4730347100605876,0.5544186046511628,-0.056221587767833446,-0.26582213769411545,0.795961719600233,0.4255241686903355,-0.13842458274396918,0.55,0.5289058935311385,0.48519030163271076,0.5743119266055046,-0.1074755776974554,-0.36455287079293575,0.8939413965783849,0.47728546402242844,-0.16197652150620578,-0.02499999999999991,0.0074122130868522484,0.012155591572123148,0.01989332195434179,-0.051253989929621956,-0.0987307330988203,0.09797967697815191,0.05176129533209295,-0.0235519387622366,False,True,1.0,False,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.04, ""max_depth"": 3, ""n_estimators"": 240, ""num_leaves"": 7, ""reg_lambda"": 3.0, ""subsample"": 0.9}",0.5366750007332636,0.06224670777633507,0.9702433300001303
60,MACD 12-26-9,0.7,0.5328751711338884,0.4658093394102227,0.5714285714285714,0.019667180932487885,-0.003579139888859162,0.9119070232840213,0.42741903608325105,-0.17791181053636862,0.675,0.5328751711338884,0.4658093394102227,0.5714285714285714,0.019667180932487885,-0.003579139888859162,0.9119070232840213,0.42741903608325105,-0.17791181053636862,-0.02499999999999991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,,,,,,
60,Random Forest,0.65,0.5411875711529189,0.5115437329359425,0.6554338668913227,-0.11792787980533359,-0.2720781396455989,0.45288958894367565,0.22504573326359512,-0.18107254576205234,0.7,0.5493037600697694,0.5195114920648733,0.6177260519247986,-0.016448347134648735,-0.29674499712201596,0.5072208582258322,0.25376034989249185,-0.16291004361585182,0.04999999999999993,0.008116188916850509,0.007967759128930885,-0.03770781496652409,0.10147953267068485,-0.02466685747641706,0.054331269282156536,0.02871461662889674,0.01816250214620052,True,True,2.0,False,"{""max_depth"": 10, ""max_features"": 0.7, ""min_samples_leaf"": 12, ""n_estimators"": 350}",0.535873561429579,0.052977105340972164,9.638587432999884
60,SVC,0.55,0.541221413227279,0.5091697214275615,0.6502963590177815,-0.0744894022580438,-0.7756643757332484,0.3911716294159643,0.18433729169526636,-0.257789277912688,0.4,0.5053089763820756,0.4760695288960438,0.6253186066270179,-0.1312391064052171,-0.6701611434779657,0.11045556880775927,0.020118503035885915,-0.2511011792025555,-0.15000000000000002,-0.0359124368452034,-0.033100192531517636,-0.024977752390763608,-0.0567497041471733,0.10550323225528269,-0.28071606060820503,-0.16421878865938044,0.0066880987101325395,False,False,1.0,False,"{""C"": 0.5, ""gamma"": ""scale""}",0.5031532788050813,0.05062844503878825,3.3047436780000226
60,SVR,0.35,0.5106687765497617,0.4684117781427779,0.5690909090909091,-0.003486071769107995,-1.2776503876582597,0.30675369711511563,0.12297505243700901,-0.26017296159751124,0.35,0.5106687765497617,0.4684117781427779,0.5690909090909091,-0.003486071769107995,-1.2776503876582597,0.30675369711511563,0.12297505243700901,-0.26017296159751124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,0.0,True,"{""C"": 5.0, ""epsilon"": 0.001, ""gamma"": ""scale""}",0.5210098660150572,0.03809100513062928,3.7638386799999353
60,XGBoost,0.5,0.526247419520779,0.4856689110547899,0.6163194444444444,-0.1336271067283742,-0.3475428656840496,0.6277019718996553,0.3333364003691106,-0.1608517350530302,0.6,0.5254412709767664,0.5015337256480263,0.6504201680672269,-0.204105044954186,-0.28505567759177763,0.4076201654114312,0.1940273784197546,-0.17447611401043783,0.09999999999999998,-0.0008061485440126193,0.015864814593236465,0.03410072362278249,-0.0704779382258118,0.06248718809227194,-0.22008180648822406,-0.13930902194935602,-0.013624378957407646,True,False,1.0,False,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.05, ""max_depth"": 2, ""n_estimators"": 200, ""reg_lambda"": 3.0, ""subsample"": 0.9}",0.5405671057774571,0.06034707424537444,0.7787547899999936
